11,Purchase of Machinery,Purchase of Machinery,मशीनरी की खरीद,मशिनरी खरेदी,യന്ത്രസാമഗ്രികളുടെ വാങ്ങൽ,இயந்திரங்கள் வாங்குதல்,مشینری کی خریداری,যন্ত্রপাতি ক্রয়,যন্ত্ৰপাতি ক্ৰয় কৰা,મશીનરીની ખરીદી,مشینری کی خریداری,ಯಂತ್ರೋಪಕರಣಗಳ ಖರೀದಿ,ଯନ୍ତ୍ରପାତି କ୍ରୟ |,Ka jingthied ia ki mashin,ਮਸ਼ੀਨਰੀ ਦੀ ਖਰੀਦ,యంత్రాల కొనుగోలు,यंत्रणां खरेदी करप
12,Office Equipments,Office equipments,कार्यालय उपकरण,कार्यालय उपकरणे,ഓഫീസ് ഉപകരണങ്ങൾ,அலுவலக உபகரணங்கள்,دفتری سامان,অফিস সরঞ্জাম,কাৰ্যালয়ৰ সঁজুলি,ઓફિસ સાધનો,دفتر کی مشینری,ಕಚೇರಿ ಉಪಕರಣಗಳು,ଅଫିସ୍ ଉପକରଣ |,Ki tiar ophis,ਦਫ਼ਤਰ ਦਾ ਸਾਮਾਨ,కార్యాలయ సామగ్రి,ऑफिसांतलीं उपकरणां
13,Other Purposes,Other Purposes,अन्य उद्देश्य,इतर हेतू,മറ്റ് ഉദ്ദേശ്യങ്ങൾ,மற்ற நோக்கங்கள்,دوسرے مقاصد,অন্যান্য উদ্দেশ্য,অন্যান্য উদ্দেশ্য,અન્ય હેતુઓ,دیگر مقاصد,ಇತರ ಉದ್ದೇಶಗಳು,ଅନ୍ୟାନ୍ୟ ଉଦ୍ଦେଶ୍ୟ |,Kiwei pat ki jingthmu,ਹੋਰ ਉਦੇਸ਼,ఇతర ప్రయోజనాల,हेर हेतू खातीर
14,Supplier GST number,Supplier GST number,आपूर्तिकर्ता जीएसटी संख्या,पुरवठादार जीएसटी संख्या,വിതരണക്കാരൻ്റെ ജിഎസ്ടി നമ്പർ,சப்ளையர் ஜிஎஸ்டி எண்,سپلائر جی ایس ٹی نمبر,সরবরাহকারী জিএসটি নম্বর,যোগানকাৰীৰ জি এছ টি নম্বৰ,સપ્લાયર GST નંબર,سپلائر جی ایس ٹی نمبر,ಪೂರೈಕೆದಾರ GST ಸಂಖ್ಯೆ,ଯୋଗାଣକାରୀ ଜିଏସ୍ଟି ନମ୍ବର |,U nombar GST jong u nongsam,ਸਪਲਾਇਰ ਜੀਐਸਟੀ ਨੰਬਰ,సరఫరాదారు GST సంఖ్య,पुरवणदार जीएसटी क्रमांक
15,Verify,Verify,सत्यापित करें,कृपया ते प्रमाणित करा,ദയവായി അത് സാക്ഷ്യപ്പെടുത്തുക,தயவு செய்து சான்றளிக்கவும்,براہ کرم اس کی تصدیق کریں۔,এটা প্রত্যয়িত করুন,সত্যাপন কৰা,કૃપા કરીને તેને પ્રમાણિત કરો,تصدیق کریں,ದಯವಿಟ್ಟು ಅದನ್ನು ದೃಢೀಕರಿಸಿ,ଦୟାକରି ଏହାକୁ ପ୍ରମାଣ କରନ୍ତୁ |,Pynshisha,ਕਿਰਪਾ ਕਰਕੇ ਇਸ ਦੀ ਤਸਦੀਕ ਕਰੋ,దయచేసి దానిని ధృవీకరించండి,कृपा करून ताची प्रमाणीत करात
16,Verification Details,Verification Details,सत्यापन विवरण,सत्यापन तपशील,സ്ഥിരീകരണ വിശദാംശങ്ങൾ,சரிபார்ப்பு விவரங்கள்,تصدیق کی تفصیلات,যাচাইকরণের বিবরণ,সত্যাপনৰ বিৱৰণ,ચકાસણી વિગતો,تصدیق کی تفصیلات,ಪರಿಶೀಲನೆ ವಿವರಗಳು,ଯାଞ୍ଚ ବିବରଣୀ |,Ki jingtip ba bniah jong ka jingpynshisha,ਪੁਸ਼ਟੀਕਰਨ ਵੇਰਵੇ,ధృవీకరణ వివరాలు,सत्यापनाचो तपशील
17,Supplier Name,Supplier Name,आपूर्तिकर्ता का नाम,पुरवठादाराचे नाव,വിതരണക്കാരൻ്റെ പേര്,சப்ளையர் பெயர்,فراہم کنندہ کا نام,সরবরাহকারীর নাম,যোগানকাৰীৰ নাম,સપ્લાયરનું નામ,سپلائر کا نام,ಪೂರೈಕೆದಾರರ ಹೆಸರು,ଯୋଗାଣକାରୀ ନାମ |,Kyrteng jong u nongsam,ਸਪਲਾਇਰ ਦਾ ਨਾਮ,సరఫరాదారు పేరు,पुरवणदाराचें नांव
18,Supplier GST number,Supplier GST number,आपूर्तिकर्ता जीएसटी संख्या,पुरवठादार जीएसटी संख्या,വിതരണക്കാരൻ്റെ ജിഎസ്ടി നമ്പർ,சப்ளையர் ஜிஎஸ்டி எண்,سپلائر جی ایس ٹی نمبر,সরবরাহকারী জিএসটি নম্বর,যোগানকাৰীৰ জি এছ টি নম্বৰ,સપ્લાયર GST નંબર,سپلائر جی ایس ٹی نمبر,ಪೂರೈಕೆದಾರ GST ಸಂಖ್ಯೆ,ଯୋଗାଣକାରୀ ଜିଏସ୍ଟି ନମ୍ବର |,U nombar GST jong u nongsam,ਸਪਲਾਇਰ ਜੀਐਸਟੀ ਨੰਬਰ,సరఫరాదారు GST సంఖ్య,पुरवणदार जीएसटी क्रमांक
19,Status,Status,स्थिति,परिस्थिती,സാഹചര്യം,சூழ்நிலை,صورتحال,পরিস্থিতি,স্থিতি,સિચ્યુએશન,حالت,ಪರಿಸ್ಥಿತಿ,ପରିସ୍ଥିତି |,Kyrdan,ਸਥਿਤੀ,పరిస్థితి,स्थिती
20,Confirm if this is your supplier to verify and proceed,Please confirm whether this is your supplier so we can proceed further,कृपया पुष्टि करें कि क्या यह आपका आपूर्तिकर्ता है ताकि हम आगे बढ़ सकें,कृपया हा तुमचा पुरवठादार असल्याची पुष्टी करा जेणेकरून आम्ही पुढे जाऊ शकू,"ഇത് നിങ്ങളുടെ വിതരണക്കാരനാണോയെന്ന് ദയവായി സ്ഥിരീകരിക്കുക, അതുവഴി ഞങ്ങൾക്ക് തുടരാം","இது உங்கள் சப்ளையர்தானா என்பதை உறுதிப்படுத்தவும், இதன் மூலம் நாங்கள் தொடரலாம்",براہ کرم تصدیق کریں کہ آیا یہ آپ کا سپلائر ہے تاکہ ہم آگے بڑھ سکیں,এটি আপনার সরবরাহকারী কিনা তা নিশ্চিত করুন যাতে আমরা এগিয়ে যেতে পারি,অনুগ্ৰহ কৰি নিশ্চিত কৰক যে এইজন আপোনাৰ যোগানকাৰী নেকি যাতে আমি আৰু আগবাঢ়িব পাৰো,કૃપા કરીને પુષ્ટિ કરો કે શું આ તમારો સપ્લાયર છે જેથી કરીને અમે આગળ વધી શકીએ,برائے مہربانی تصدیق کریں کہ یہ آپ کا سپلائر ہے تاکہ ہم آگے بڑھ سکیں,ಇದು ನಿಮ್ಮ ಪೂರೈಕೆದಾರರೇ ಎಂಬುದನ್ನು ದಯವಿಟ್ಟು ಖಚಿತಪಡಿಸಿ ಇದರಿಂದ ನಾವು ಮುಂದುವರಿಯಬಹುದು,ଦୟାକରି ନିଶ୍ଚିତ କରନ୍ତୁ ଯେ ଏହା ଆପଣଙ୍କର ଯୋଗାଣକାରୀ ଅଟେ ଯାହା ଦ୍ୱାରା ଆମେ ଆଗକୁ ବଢିପାରିବା |,Sngewbha pynthikna la une u dei u nongsam jong phi khnang ba ngin lah ban iaid shakhmat,ਕਿਰਪਾ ਕਰਕੇ ਪੁਸ਼ਟੀ ਕਰੋ ਕਿ ਕੀ ਇਹ ਤੁਹਾਡਾ ਸਪਲਾਇਰ ਹੈ ਤਾਂ ਜੋ ਅਸੀਂ ਅੱਗੇ ਵਧ ਸਕੀਏ,"దయచేసి ఇది మీ సరఫరాదారు అని నిర్ధారించండి, తద్వారా మేము కొనసాగవచ్చు",उपकार करून हो तुमचो पुरवणदार आसा काय ना हाची खात्री करात जेणे करून आमी फुडें वचूंक शकतले
21,"By confirming, you are acknowledging that this is your entity.","By confirming, you acknowledge that the Entity belongs to you.","पुष्टि करके, आप स्वीकार करते हैं कि इकाई आपकी है।","पुष्टी करून, तुम्ही कबूल करता की युनिट तुमचे आहे.","സ്ഥിരീകരിക്കുന്നതിലൂടെ, യൂണിറ്റ് നിങ്ങളുടേതാണെന്ന് നിങ്ങൾ അംഗീകരിക്കുന്നു.","உறுதிப்படுத்துவதன் மூலம், யூனிட் உங்களுடையது என்பதை ஒப்புக்கொள்கிறீர்கள்.",تصدیق کرکے، آپ تسلیم کرتے ہیں کہ یونٹ آپ کا ہے۔,"নিশ্চিত করার মাধ্যমে, আপনি স্বীকার করেন যে ইউনিটটি আপনার।","নিশ্চিত কৰি, আপুনি স্বীকাৰ কৰে যে সত্তাটো আপোনাৰ।","પુષ્ટિ કરીને, તમે સ્વીકારો છો કે એકમ તમારું છે.",تصدیق کرنے سے، آپ تسلیم کرتے ہیں کہ اکائی آپ کی ہے۔,"ದೃಢೀಕರಿಸುವ ಮೂಲಕ, ಘಟಕವು ನಿಮ್ಮದಾಗಿದೆ ಎಂದು ನೀವು ಅಂಗೀಕರಿಸುತ್ತೀರಿ.","ନିଶ୍ଚିତ କରି, ଆପଣ ସ୍ୱୀକାର କରନ୍ତି ଯେ ୟୁନିଟ୍ ଆପଣଙ୍କର ଅଟେ |","Da kaba pynskhem, phi pdiang ba ka Entity ka dei ka jong phi.","ਪੁਸ਼ਟੀ ਕਰਕੇ, ਤੁਸੀਂ ਸਵੀਕਾਰ ਕਰਦੇ ਹੋ ਕਿ ਯੂਨਿਟ ਤੁਹਾਡੀ ਹੈ।","నిర్ధారించడం ద్వారా, యూనిట్ మీదేనని మీరు ధృవీకరిస్తారు.","पुष्टी करून, तुमी युनिट तुमचो आसा हें मान्य करतात."
22,"No, Wrong Supplier","Sorry, wrong supplier","क्षमा करें, गलत आपूर्तिकर्ता","क्षमस्व, चुकीचा पुरवठादार","ക്ഷമിക്കണം, തെറ്റായ വിതരണക്കാരൻ","மன்னிக்கவும், தவறான சப்ளையர்",معذرت، غلط فراہم کنندہ,"দুঃখিত, ভুল সরবরাহকারী","ক্ষমা কৰিব, ভুল যোগানকাৰী","માફ કરશો, ખોટા સપ્લાયર",معاف کیجئے، غلط سپلائر,"ಕ್ಷಮಿಸಿ, ತಪ್ಪು ಪೂರೈಕೆದಾರ","ଦୁ Sorry ଖିତ, ଭୁଲ ଯୋଗାଣକାରୀ |","Sngewbha, u nongsam bakla","ਮਾਫ਼ ਕਰਨਾ, ਗਲਤ ਸਪਲਾਇਰ","క్షమించండి, తప్పు సరఫరాదారు","माफ करात, चुकीचो पुरवणदार"
23,"Yes , I confirm","Yes, I confirm","हाँ, मैं पुष्टि करता हूँ","होय, मी पुष्टी करतो","അതെ, ഞാൻ സ്ഥിരീകരിക്കുന്നു","ஆம், உறுதி செய்கிறேன்",ہاں، میں تصدیق کرتا ہوں۔,"হ্যাঁ, আমি নিশ্চিত করছি","হয়, মই নিশ্চিত কৰিছো।","હા, હું પુષ્ટિ કરું છું",ہاں، میں تصدیق کرتا ہوں,"ಹೌದು, ನಾನು ದೃಢೀಕರಿಸುತ್ತೇನೆ","ହଁ, ମୁଁ ନିଶ୍ଚିତ କରେ |","Hooid, nga pynthikna","ਹਾਂ, ਮੈਂ ਪੁਸ਼ਟੀ ਕਰਦਾ ਹਾਂ","అవును, నేను ధృవీకరిస్తున్నాను","हो, हांव पुष्टी करतां"
24,Quotation (Maximum file size accepts upto 2 MB),Quotation (Max file size: 2 MB. Only .pdf accepted),मूल्य विवरण (अधिकतम फ़ाइल आकार: 2 MB। केवल .पीडीएफ स्वीकृत),किंमत तपशील (जास्तीत जास्त फाइल आकार: 2 MB. फक्त .pdf स्वीकारले जाते),വില വിശദാംശങ്ങൾ (പരമാവധി ഫയൽ വലുപ്പം: 2 MB. .pdf മാത്രം അംഗീകരിച്ചു),விலை விவரங்கள் (அதிகபட்ச கோப்பு அளவு: 2 MB. .pdf மட்டுமே ஏற்றுக்கொள்ளப்பட்டது),قیمت کی تفصیلات (زیادہ سے زیادہ فائل سائز: 2 MB۔ صرف .pdf قبول ہے),মূল্যের বিবরণ (সর্বোচ্চ ফাইলের আকার: 2 MB। শুধুমাত্র .pdf গৃহীত),উদ্ধৃতি (সৰ্বোচ্চ ফাইলৰ আকাৰ: 2 MB। কেৱল .pdf গ্ৰহণ কৰা হৈছে),કિંમત વિગતો (મહત્તમ ફાઇલ કદ: 2 MB. માત્ર .pdf સ્વીકાર્ય),کوٹیشن (زیادہ سے زیادہ فائل سائز: 2 MB۔ صرف .پی ڈی ایف قبول کیا جاتا ہے),ಬೆಲೆ ವಿವರಗಳು (ಗರಿಷ್ಠ ಫೈಲ್ ಗಾತ್ರ: 2 MB. ಕೇವಲ .pdf ಸ್ವೀಕರಿಸಲಾಗಿದೆ),ମୂଲ୍ୟ ବିବରଣୀ (ସର୍ବାଧିକ ଫାଇଲ୍ ଆକାର: 2 MB। କେବଳ .pdf ଗ୍ରହଣ କରାଯାଇଛି) |,Ka jingkynthoh (Ka jingheh jong ka file kaba heh tam: 2 MB. La pdiang tang ia ka .pdf),ਕੀਮਤ ਦੇ ਵੇਰਵੇ (ਵੱਧ ਤੋਂ ਵੱਧ ਫ਼ਾਈਲ ਆਕਾਰ: 2 MB। ਸਿਰਫ਼ .pdf ਸਵੀਕਾਰ),ధర వివరాలు (గరిష్ట ఫైల్ పరిమాణం: 2 MB. .pdf మాత్రమే ఆమోదించబడింది),किंमत तपशील (चडांत चड फायल आकार: 2 MB. फकत .pdf मान्य)
25,Upload Quotation,Upload Quotation,मूल्य विवरण अपलोड करें,किमतीचे तपशील अपलोड करा,വില വിശദാംശങ്ങൾ അപ്‌ലോഡ് ചെയ്യുക,விலை விவரங்களை பதிவேற்றவும்,قیمت کی تفصیلات اپ لوڈ کریں۔,মূল্যের বিবরণ আপলোড করুন,উদ্ধৃতি আপলোড কৰক,કિંમતની વિગતો અપલોડ કરો,کوٹیشن اپ لوڈ کریں,ಬೆಲೆ ವಿವರಗಳನ್ನು ಅಪ್‌ಲೋಡ್ ಮಾಡಿ,ମୂଲ୍ୟ ବିବରଣୀ ଅପଲୋଡ୍ କରନ୍ତୁ |,Upload ia ka jingkynthoh,ਕੀਮਤ ਵੇਰਵੇ ਅੱਪਲੋਡ ਕਰੋ,ధర వివరాలను అప్‌లోడ్ చేయండి,किंमत तपशील अपलोड करात
26,Still want to avail a loan without quotation ( upto Rs. 2 Lacs),Want to avail loan disbursement without quotation (up to Rs. 2 Lakhs)?,क्या आप बिना मूल्य विवरण (2 लाख रुपये तक) के ऋण वितरण का लाभ उठाना चाहते हैं?,तुम्हाला व्हॅल्यू स्टेटमेंटशिवाय (रु. 2 लाखांपर्यंत) ऋण  वितरणाचा लाभ घ्यायचा आहे का?,വാല്യു സ്റ്റേറ്റ്‌മെൻ്റ് (2 ലക്ഷം രൂപ വരെ) ഇല്ലാതെ നിങ്ങൾക്ക് ലോൺ വിതരണം പ്രയോജനപ്പെടുത്തണോ?,மதிப்பு அறிக்கை (ரூ. 2 லட்சம் வரை) இல்லாமல் கடன் வழங்குதலைப் பெற விரும்புகிறீர்களா?,کیا آپ ویلیو اسٹیٹمنٹ کے بغیر قرض کی تقسیم کا فائدہ اٹھانا چاہتے ہیں (2 لاکھ روپے تک)؟,আপনি কি মূল্য বিবরণী ছাড়াই (2 লাখ টাকা পর্যন্ত) ঋণ বিতরণ করতে চান?,কোটেচন অবিহনে (২ লাখ টকা পৰ্যন্ত) ঋণ প্ৰদানৰ সুবিধা ল’ব বিচাৰেনে?,શું તમે વેલ્યુ સ્ટેટમેન્ટ (રૂ. 2 લાખ સુધી) વિના લોન વિતરણનો લાભ લેવા માંગો છો?,کیا آپ کوٹیشن کے بغیر لون کی ادائیگی حاصل کرنا چاہتے ہیں (2 لاکھ تک)?,ಮೌಲ್ಯದ ಹೇಳಿಕೆ ಇಲ್ಲದೆ (ರೂ. 2 ಲಕ್ಷದವರೆಗೆ) ಸಾಲ ವಿತರಣೆಯನ್ನು ಪಡೆಯಲು ನೀವು ಬಯಸುವಿರಾ?,ମୂଲ୍ୟ ବିନା ଲୋନ୍ ବିତରଣ କରିବାକୁ ଚାହୁଁଛନ୍ତି (₹ 2 ଲକ୍ଷ ପର୍ଯ୍ୟନ୍ତ)?,Phi kwah ban ioh ia ka jingai ram khlem da buh dor (haduh T. 2 Lak)?,ਕੀ ਤੁਸੀਂ ਵੈਲਿਊ ਸਟੇਟਮੈਂਟ (2 ਲੱਖ ਰੁਪਏ ਤੱਕ) ਤੋਂ ਬਿਨਾਂ ਕਰਜ਼ੇ ਦੀ ਵੰਡ ਦਾ ਲਾਭ ਲੈਣਾ ਚਾਹੁੰਦੇ ਹੋ?,మీరు వాల్యూ స్టేట్‌మెంట్ (రూ. 2 లక్షల వరకు) లేకుండా లోన్ పంపిణీని పొందాలనుకుంటున్నారా?,तुमकां मोल विवरणा बगर (2 लाख रुपया मेरेन) रीण दिवपाचो लाव घेवपाचो आसा?
27,Continue,Continue,जारी रखें,सुरू ठेवा,തുടരുക,தொடரவும்,جاری رکھیں,চালিয়ে যান,অব্যাহত ৰাখক,ચાલુ રાખો,جاری رکھیں,ಮುಂದುವರಿಸಿ,ଜାରି ରଖ |,Bteng,ਜਾਰੀ ਰੱਖੋ,కొనసాగుతుంది,फुडें व्हरप
,,,,,,,,,,,,,,,,,
Sheet7,,,,,,,,,,,,,,,,,
Sl No,Field Name,English,Hindi,Marathi,Malayalam,Tamil,Urdu,Bengali,Assamese,Gujarati,Kashmiri,Kannada,,KhaSI,Punjabi,Telegu,Konkani
1,Ref No.,Reference Number,संदर्भ संख्या,संदर्भ संख्या,റഫറൻസ് നമ്പർ,குறிப்பு எண்,حوالہ نمبر,রেফারেন্স নম্বর,ৰেফাৰেন্স নম্বৰ,સંદર્ભ નંબર,ریفرنس نمبر,ಉಲ್ಲೇಖ ಸಂಖ್ಯೆ,ସନ୍ଦର୍ଭ ସଂଖ୍ୟା,Nombar jingkynthoh,ਹਵਾਲਾ ਨੰਬਰ,సూచన సంఖ్య,संदर्भ क्रमांक
2,Business Unit Image (Geotagging) & Liveliness check,Business Unit Image (Geotagging) & Liveliness check,व्यावसायिक यूनिट छवि (जियोटैगिंग) और लिवेलिनेस्स चेक,व्यवसाय युनिट छवि (जिओटॅगिंग) आणि लाइवलीनेस तपास,ബിസിനസ് യൂണിറ്റ് ചിത്രം (ജിയോട്ടാഗിംഗ്) & ലൈവ്ലിനസ് പരിശോധന,வணிக அலகு படம் (ஜியோட்டேக்கிங்) மற்றும் லைவ்லினஸ் சோதனை,کاروباری یونٹ کی تصویر (جغرافیائی ٹیگنگ) اور لائیولینس چیک,ব্যবসার ইউনিটের ছবি (জিওট্যাগিং) ও লাইভলিনেস চেক,ব্যবসায় ইউনিট চিত্র (জিওট্যাগিং) আৰু লাইভলিনেস পৰীক্ষা,વ્યવસાય યુનિટ છબી (ભૂગોળ ટૅગિંગ) અને લાઇવલિનસ ચેક,کاروباری یونٹ کی تصویر (جغرافیائی ٹیگنگ) اور لائیولینس چیک,ಬಿಸಿನೆಸ್ ಯೂನಿಟ್ ಇಮೇಜ್ (ಜಿಯೋಟ್ಯಾಗಿಂಗ್) ಮತ್ತು ಲೈವ್ಲಿನೆಸ್ ಪರಿಶೀಲನೆ,ବ୍ୟବସାୟ ୟୁନିଟ୍ ଛବି (ଜିଓଟ୍ୟାଗିଂ) ଏବଂ ଲାଇଭ୍ଲିନେସ୍ ଚେକ,Ka khyndew ka unit (geotagging) & liveliness check,ਵਪਾਰ ਇਕਾਈ ਤਸਵੀਰ (ਜਿਓਟੈਗਿੰਗ) ਅਤੇ ਲਾਈਵਲਿਨਸ ਜਾਂਚ,వ్యాపార యూనిట్ చిత్రం (జియోటాగింగ్) మరియు లైవ్లినెస్ తనిఖీ,व्यवसाय युनिट छवि (जिओटॅगिंग) आणि लाइवलीनेस तपास
3,Please complete your verification process,Please follow the steps below to ensure a hassle-free verification process,परेशानी मुक्त सत्यापन प्रक्रिया सुनिश्चित करने के लिए कृपया नीचे दिए गए चरणों का पालन करें,त्रासमुक्त पडताळणी प्रक्रिया सुनिश्चित करण्यासाठी कृपया खालील चरणांचे अनुसरण करा,തടസ്സരഹിതമായ സ്ഥിരീകരണ പ്രക്രിയ ഉറപ്പാക്കാൻ ചുവടെ നൽകിയിരിക്കുന്ന ഘട്ടങ്ങൾ പാലിക്കുക,தொந்தரவு இல்லாத சரிபார்ப்பு செயல்முறையை உறுதிப்படுத்த கீழே கொடுக்கப்பட்டுள்ள படிகளைப் பின்பற்றவும்,کسی پریشانی سے پاک تصدیقی عمل کو یقینی بنانے کے لیے براہ کرم ذیل میں دیے گئے اقدامات پر عمل کریں۔,একটি ঝামেলামুক্ত যাচাইকরণ প্রক্রিয়া নিশ্চিত করতে অনুগ্রহ করে নিচের ধাপগুলি অনুসরণ করুন৷,অনুগ্ৰহ কৰি তলৰ পদক্ষেপসমূহ অনুসৰণ কৰক যাতে এটা হেঁচামুক্ত পৰীক্ষণ প্ৰক্ৰিয়া নিশ্চিত কৰিব পাৰি,મુશ્કેલી મુક્ત ચકાસણી પ્રક્રિયા સુનિશ્ચિત કરવા માટે કૃપા કરીને નીચે આપેલા પગલાંને અનુસરો,برائے مہربانی ایک پریشانی سے پاک تصدیق کے عمل کو یقینی بنانے کے لیے مندرجہ ذیل اقدامات پر عمل کریں,ಜಗಳ ಮುಕ್ತ ಪರಿಶೀಲನೆ ಪ್ರಕ್ರಿಯೆಯನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಲು ದಯವಿಟ್ಟು ಕೆಳಗಿನ ಹಂತಗಳನ್ನು ಅನುಸರಿಸಿ,ଏକ ଅସୁବିଧା ମୁକ୍ତ ଯାଞ୍ଚ ପ୍ରକ୍ରିୟା ନିଶ୍ଚିତ କରିବାକୁ ଦୟାକରି ନିମ୍ନରେ ଦିଆଯାଇଥିବା ପଦକ୍ଷେପଗୁଡ଼ିକୁ ଅନୁସରଣ କରନ୍ତୁ |,Sngewbha bud ia ki step harum ban pynthikna ia ka rukom pynshisha kaba khlem jingeh,ਕਿਰਪਾ ਕਰਕੇ ਇੱਕ ਮੁਸ਼ਕਲ ਰਹਿਤ ਪੁਸ਼ਟੀਕਰਨ ਪ੍ਰਕਿਰਿਆ ਨੂੰ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ ਹੇਠਾਂ ਦਿੱਤੇ ਗਏ ਕਦਮਾਂ ਦੀ ਪਾਲਣਾ ਕਰੋ,అవాంతరం లేని ధృవీకరణ ప్రక్రియను నిర్ధారించడానికి దయచేసి దిగువన అందించబడిన దశలను అనుసరించండి,उपकार करून त्रासमुक्त सत्यापन प्रक्रिया सुनिश्चीत करपा खातीर सकयल दिल्ल्या पांवड्यांक पाळो दिवचो
4,1. Geotagging of Business Unit Image,1. Geotagging of Business Unit Image,1. व्यावसायिक यूनिट छवि की जियोटैगिंग,1. व्यवसाय युनिट प्रतिमेचे जिओटॅगिंग,1. ബിസിനസ് യൂണിറ്റ് ഇമേജിൻ്റെ ജിയോടാഗിംഗ്,1. பிசினஸ் யூனிட் படத்தின் ஜியோடேக்கிங்,1. کاروباری یونٹ کی تصویر کی جیو ٹیگنگ,1. ব্যবসায়িক ইউনিট চিত্রের জিওট্যাগিং,১/ ব্যৱসায়িক ইউনিটৰ ছবিৰ জিঅ’টেগিং,1. બિઝનેસ યુનિટ ઈમેજનું જીઓટેગીંગ,بزنس یونٹ امیج کی جیو ٹیگنگ,1. ವ್ಯಾಪಾರ ಘಟಕದ ಚಿತ್ರದ ಜಿಯೋಟ್ಯಾಗ್ ಮಾಡುವುದು,1. ବ୍ୟବସାୟ ୟୁନିଟ୍ ପ୍ରତିଛବିର ଜିଓଟ୍ୟାଗିଂ |,1. Ka jingbuh dak ia ka dur jong ka Unit jong ka kam,1. ਕਾਰੋਬਾਰੀ ਯੂਨਿਟ ਚਿੱਤਰ ਦੀ ਜਿਓਟੈਗਿੰਗ,1. వ్యాపార యూనిట్ ఇమేజ్ యొక్క జియోట్యాగింగ్,1. वेवसायीक युनिट प्रतिमेचें जिओटॅगिंग
5,Please capture an image of your business unit. Please make sure you are at the business location when you capture the image.,Capture an image of your business unit and ensure that you are at the location when you capture the image.,अपनी व्यावसायिक इकाई की एक छवि कैप्चर करें और सुनिश्चित करें कि जब आप छवि कैप्चर कर रहे हों तो आप उस स्थान पर हों।,तुमच्या व्यवसाय युनिटची इमेज कॅप्चर करा आणि तुम्ही इमेज कॅप्चर करता तेव्हा तुम्ही त्या ठिकाणी असल्याची खात्री करा.,നിങ്ങളുടെ ബിസിനസ്സ് യൂണിറ്റിൻ്റെ ഒരു ചിത്രം ക്യാപ്‌ചർ ചെയ്‌ത് ചിത്രം എടുക്കുമ്പോൾ നിങ്ങൾ ആ സ്ഥലത്താണെന്ന് ഉറപ്പാക്കുക.,"உங்கள் வணிகப் பிரிவின் படத்தைப் படம்பிடித்து, படத்தைப் பிடிக்கும்போது நீங்கள் அந்த இடத்தில் இருப்பதை உறுதிசெய்யவும்.",اپنے کاروباری یونٹ کی ایک تصویر کیپچر کریں اور یہ یقینی بنائیں کہ جب آپ تصویر کھینچتے ہیں تو آپ اس مقام پر ہیں۔,আপনার ব্যবসায়িক ইউনিটের একটি চিত্র ক্যাপচার করুন এবং নিশ্চিত করুন যে আপনি সেই অবস্থানে আছেন যখন আপনি ছবিটি ক্যাপচার করবেন।,আপোনাৰ ব্যৱসায়িক ইউনিটৰ এটা ছবি ধৰি লওক আৰু নিশ্চিত কৰক যে আপুনি ছবিখন ধৰাৰ সময়ত স্থানত আছে।,તમારા વ્યવસાય એકમની છબી કેપ્ચર કરો અને ખાતરી કરો કે જ્યારે તમે છબી કેપ્ચર કરો ત્યારે તમે તે સ્થાન પર છો.,اپنے بزنس یونٹ کی ایک تصویر کپچر کریں اور اس بات کو یقینی بنائیں کہ آپ اس وقت جگہ پر موجود ہیں جب آپ تصویر کپچر کرتے ہیں۔,ನಿಮ್ಮ ವ್ಯಾಪಾರ ಘಟಕದ ಚಿತ್ರವನ್ನು ಸೆರೆಹಿಡಿಯಿರಿ ಮತ್ತು ನೀವು ಚಿತ್ರವನ್ನು ಸೆರೆಹಿಡಿಯುವಾಗ ನೀವು ಆ ಸ್ಥಳದಲ್ಲಿ ಇದ್ದೀರಿ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ.,ତୁମର ବ୍ୟବସାୟ ୟୁନିଟ୍ ର ଏକ ପ୍ରତିଛବି କ୍ୟାପଚର୍ କର ଏବଂ ଯେତେବେଳେ ତୁମେ ପ୍ରତିଛବି କ୍ୟାପଚର୍ କର ସେତେବେଳେ ନିଶ୍ଚିତ କର ଯେ ତୁମେ ସେହି ସ୍ଥାନରେ ଅଛି |,Pyndonkam ia ka dur jong ka unit treikam jong phi bad pynthikna ba phi don ha ka jaka haba phi shim ia ka dur.,ਆਪਣੀ ਕਾਰੋਬਾਰੀ ਇਕਾਈ ਦਾ ਚਿੱਤਰ ਕੈਪਚਰ ਕਰੋ ਅਤੇ ਇਹ ਸੁਨਿਸ਼ਚਿਤ ਕਰੋ ਕਿ ਜਦੋਂ ਤੁਸੀਂ ਚਿੱਤਰ ਕੈਪਚਰ ਕਰਦੇ ਹੋ ਤਾਂ ਤੁਸੀਂ ਉਸ ਸਥਾਨ 'ਤੇ ਹੋ।,మీ వ్యాపార యూనిట్ యొక్క చిత్రాన్ని క్యాప్చర్ చేయండి మరియు మీరు చిత్రాన్ని క్యాప్చర్ చేసినప్పుడు మీరు ఆ స్థానంలో ఉన్నారని నిర్ధారించుకోండి.,तुमच्या वेवसायीक युनिटाची प्रतिमा काडची आनी प्रतिमा काडटना तुमी त्या सुवातेर आसात हाची खात्री करात.
